,Date,AdjClose,Comp,Pos,Neg,Neu,TextBlobPolarity
0,2020-01-02,298.8299560546875,0.9992,0.145,0.063,0.791,0.10799239847454134
1,2020-01-03,295.9247131347656,0.9987,0.107,0.061,0.832,0.12107499261113723
2,2020-01-06,298.28271484375,0.9964,0.086,0.049,0.865,0.11908424862557095
3,2020-01-07,296.8798828125,0.9311,0.073,0.06,0.867,0.1280240051850222
4,2020-01-08,301.6555480957031,0.9945,0.092,0.061,0.847,0.07791806311967608
5,2020-01-09,308.06298828125,0.9978,0.1,0.048,0.852,0.08643163621039728
6,2020-01-10,308.7593994140625,0.9983,0.115,0.043,0.842,0.15865834268612047
7,2020-01-13,315.3558654785156,0.9975,0.097,0.029,0.875,0.12505916305916306
8,2020-01-14,311.0975341796875,0.9993,0.133,0.035,0.831,0.12343133134395268
9,2020-01-15,309.7643127441406,0.9334,0.094,0.079,0.827,0.0768888578565998
10,2020-01-16,313.6445617675781,0.9988,0.12,0.042,0.838,0.14294789411976913
11,2020-01-17,317.116943359375,0.9962,0.087,0.039,0.874,0.12534526162243562
12,2020-01-21,314.9678649902344,0.9987,0.096,0.034,0.871,0.09558203264625284
13,2020-01-22,316.0921630859375,0.9956,0.087,0.028,0.886,0.15491149357654213
14,2020-01-23,317.6144104003906,0.9994,0.129,0.054,0.817,0.14509844752948206
15,2020-01-24,316.69903564453125,0.9989,0.116,0.039,0.845,0.12368466410133076
16,2020-01-27,307.38641357421875,0.999,0.109,0.041,0.849,0.12300367621796195
17,2020-01-28,316.0821838378906,0.9994,0.121,0.056,0.823,0.16733006496087893
18,2020-01-29,322.6985168457031,0.9987,0.11,0.058,0.831,0.13405564701339345
19,2020-01-30,322.23089599609375,0.9938,0.11,0.077,0.813,0.08429220557220558
20,2020-01-31,307.943603515625,0.9994,0.118,0.033,0.849,0.12343224317539393
21,2020-02-03,307.097900390625,0.9977,0.097,0.046,0.858,0.1028235789265201
22,2020-02-04,317.2362976074219,0.9911,0.093,0.065,0.842,0.09533154946540778
23,2020-02-05,319.82318115234375,0.9994,0.129,0.044,0.826,0.12637339932794484
24,2020-02-06,323.5641174316406,0.9977,0.088,0.037,0.875,0.1348953016303763
25,2020-02-07,319.166015625,0.9977,0.096,0.053,0.851,0.09977001393668061
26,2020-02-10,320.6819152832031,0.9977,0.094,0.043,0.863,0.15122784448256144
27,2020-02-11,318.74713134765625,0.997,0.094,0.052,0.854,0.07330000000000002
28,2020-02-12,326.3166809082031,0.9986,0.102,0.036,0.862,0.10688418577307465
29,2020-02-13,323.9929504394531,0.9974,0.092,0.049,0.859,0.056272721209695994
30,2020-02-14,324.07275390625,0.9993,0.142,0.039,0.819,0.13339038792922286
31,2020-02-18,318.1387939453125,0.9825,0.091,0.083,0.826,0.08785114596802907
32,2020-02-19,322.746337890625,0.9981,0.099,0.051,0.85,0.09619354256854258
33,2020-02-20,319.4352722167969,0.9973,0.108,0.067,0.825,0.10589762990205469
34,2020-02-21,312.2048645019531,0.9995,0.151,0.057,0.792,0.15869924898333995
35,2020-02-24,297.375,0.4936,0.071,0.07,0.859,0.10093520720281282
36,2020-02-25,287.3022766113281,0.9374,0.078,0.074,0.847,0.10938727714937392
37,2020-02-26,291.85992431640625,0.9758,0.104,0.099,0.797,0.09984572510822509
38,2020-02-27,272.7815856933594,0.9973,0.094,0.05,0.855,0.13574798739272426
39,2020-02-28,272.62200927734375,0.9976,0.107,0.062,0.832,0.11847738277048624
40,2020-03-02,298.0032958984375,0.9973,0.134,0.082,0.784,0.11858243145743148
41,2020-03-03,288.5389404296875,0.9953,0.106,0.079,0.816,0.1418778922227198
42,2020-03-04,301.9226989746094,0.9994,0.117,0.053,0.83,0.1475352262116968
43,2020-03-05,292.12921142578125,0.9901,0.09,0.066,0.844,0.07378191996495571
44,2020-03-06,288.2497253417969,0.9988,0.112,0.059,0.83,0.09359523349969212
45,2020-03-09,265.4514465332031,0.9966,0.127,0.096,0.777,0.09639598900745402
46,2020-03-10,284.5696716308594,0.9986,0.126,0.07,0.805,0.10446696333342295
47,2020-03-11,274.6864318847656,0.9993,0.125,0.045,0.83,0.1668419797048829
48,2020-03-12,247.5598602294922,0.9853,0.102,0.088,0.81,0.06760941876750699
49,2020-03-13,277.2195739746094,0.9995,0.142,0.064,0.794,0.1008635007796081
50,2020-03-16,241.55612182617188,0.9696,0.084,0.08,0.836,0.1170386565906798
51,2020-03-17,252.1773681640625,0.9992,0.111,0.042,0.846,0.1125646613922476
52,2020-03-18,246.0040740966797,0.9995,0.136,0.056,0.808,0.18679007741507753
53,2020-03-19,244.11917114257812,0.998,0.099,0.044,0.858,0.005209653937332512
54,2020-03-20,228.6211395263672,0.9958,0.115,0.081,0.804,0.047192946941148416
55,2020-03-23,223.76426696777344,0.9981,0.099,0.05,0.851,0.14486558939145144
56,2020-03-24,246.21351623535156,0.9988,0.118,0.031,0.851,0.11038047138047133
57,2020-03-25,244.857177734375,0.9575,0.066,0.052,0.882,0.08699279283518412
58,2020-03-26,257.7423095703125,0.9988,0.119,0.057,0.824,0.12319391835016834
59,2020-03-27,247.07118225097656,0.9994,0.14,0.046,0.814,0.1389546055796056
60,2020-03-30,254.12210083007812,0.9986,0.107,0.027,0.866,0.1323493556252177
61,2020-03-31,253.60350036621094,0.9991,0.103,0.039,0.858,0.09004940352268596
62,2020-04-01,240.25962829589844,0.9967,0.095,0.053,0.852,0.10303739033827533
63,2020-04-02,244.26876831054688,0.9875,0.086,0.065,0.849,0.04499539041205709
64,2020-04-03,240.75827026367188,0.9867,0.073,0.053,0.874,0.10732564657564657
65,2020-04-06,261.76141357421875,0.9991,0.138,0.073,0.789,0.19589681421076774
66,2020-04-07,258.7296142578125,0.9986,0.106,0.044,0.85,0.16621430470114684
67,2020-04-08,265.3517150878906,0.9987,0.11,0.05,0.84,0.10675884460367219
68,2020-04-09,267.2665100097656,0.9962,0.116,0.062,0.822,0.10017587378206853
69,2020-04-13,272.5123291015625,0.9989,0.108,0.04,0.852,0.10405140070657322
70,2020-04-14,286.2750549316406,0.999,0.12,0.038,0.842,0.10094482237339385
71,2020-04-15,283.6621398925781,0.9995,0.115,0.042,0.843,0.15005421166135444
72,2020-04-16,285.9160461425781,0.9984,0.109,0.054,0.837,0.10659079977261797
73,2020-04-17,282.0365295410156,0.9917,0.095,0.08,0.826,0.09606544469639708
74,2020-04-20,276.182373046875,0.9847,0.077,0.05,0.872,0.04700950077000497
75,2020-04-21,267.6454772949219,0.999,0.12,0.047,0.833,0.09368195411673674
76,2020-04-22,275.3546142578125,0.9981,0.1,0.058,0.842,0.10207213329306351
77,2020-04-23,274.2875061035156,0.9985,0.124,0.052,0.824,0.12853389595813836
78,2020-04-24,282.2060852050781,0.654,0.081,0.081,0.837,0.06316528112988289
79,2020-04-27,282.4055480957031,0.9919,0.081,0.056,0.863,0.06463588880255546
80,2020-04-28,277.8279113769531,0.9977,0.089,0.047,0.865,0.07874451936951939
81,2020-04-29,286.9532470703125,0.9985,0.109,0.062,0.829,0.11390782129154219
82,2020-04-30,293.0068359375,0.9988,0.1,0.061,0.839,0.11335899097931185
83,2020-05-01,288.28961181640625,0.9968,0.107,0.075,0.818,0.15001279688779684
84,2020-05-04,292.3685607910156,0.9984,0.106,0.042,0.852,0.18417072985494037
85,2020-05-05,296.7566833496094,0.9986,0.114,0.055,0.831,0.15294369497857876
86,2020-05-06,299.8183898925781,0.9991,0.126,0.062,0.812,0.09521257091462576
87,2020-05-07,302.91998291015625,0.9995,0.141,0.057,0.802,0.14774147549738106
88,2020-05-08,310.1300048828125,0.999,0.109,0.046,0.845,0.13009635614597448
89,2020-05-11,315.010009765625,0.9995,0.132,0.042,0.827,0.1503709795321638
90,2020-05-12,311.4100036621094,0.9992,0.123,0.048,0.829,0.1372589552306533
91,2020-05-13,307.6499938964844,0.9917,0.081,0.058,0.862,0.07748279087167975
92,2020-05-14,309.5400085449219,0.9994,0.127,0.042,0.831,0.12332340630212975
93,2020-05-15,307.7099914550781,0.9987,0.111,0.043,0.846,0.13774190282173476
94,2020-05-18,314.9599914550781,0.999,0.125,0.059,0.816,0.10851957395122865
95,2020-05-20,319.2300109863281,0.9992,0.101,0.029,0.87,0.12197912122330727
96,2020-05-21,316.8500061035156,0.9904,0.097,0.077,0.826,0.10769723752678298
97,2020-05-22,318.8900146484375,0.9992,0.126,0.054,0.821,0.20851427498121716
98,2020-05-26,316.7300109863281,0.9992,0.114,0.044,0.842,0.11737520709742937
99,2020-05-27,318.1099853515625,0.9975,0.101,0.063,0.836,0.11859706924580345
100,2020-05-28,318.25,0.997,0.107,0.067,0.826,0.09763445831406996
101,2020-05-29,317.94000244140625,0.9935,0.097,0.046,0.857,0.09504825566590275
102,2020-06-01,321.8500061035156,0.9826,0.103,0.085,0.812,0.10184065029173729
103,2020-06-02,323.3399963378906,0.9982,0.109,0.064,0.827,0.14221109908609908
104,2020-06-03,325.1199951171875,0.9983,0.101,0.054,0.845,0.1800868554685349
105,2020-06-04,322.32000732421875,0.9992,0.119,0.06,0.821,0.14967800263812536
106,2020-06-05,331.5,0.9997,0.138,0.045,0.817,0.12702917331206812
107,2020-06-08,333.4599914550781,0.9994,0.112,0.039,0.85,0.13750738150738154
108,2020-06-09,343.989990234375,0.9993,0.11,0.045,0.845,0.12001380356170778
109,2020-06-10,352.8399963378906,0.9997,0.144,0.049,0.807,0.16111587461034974
110,2020-06-11,335.8999938964844,0.9987,0.105,0.052,0.842,0.0602886002886003
111,2020-06-12,338.79998779296875,0.7286,0.099,0.096,0.805,0.08497753375802154
112,2020-06-15,342.989990234375,0.9994,0.164,0.04,0.795,0.12054230491730494
113,2020-06-16,352.0799865722656,0.9988,0.102,0.043,0.855,0.15889394768705115
114,2020-06-17,351.5899963378906,0.9975,0.098,0.052,0.85,0.12337472299525871
115,2020-06-18,351.7300109863281,0.9995,0.109,0.039,0.852,0.14481072793572794
116,2020-06-19,349.7200012207031,0.9996,0.113,0.037,0.849,0.16376811594202906
117,2020-06-22,358.8699951171875,0.9997,0.118,0.036,0.846,0.22484665417501237
118,2020-06-23,366.5299987792969,0.999,0.087,0.042,0.87,0.12986921367873755
119,2020-06-24,360.05999755859375,0.9996,0.112,0.042,0.846,0.1528553530879113
120,2020-06-25,364.8399963378906,0.9996,0.099,0.033,0.868,0.12966258722251872
